,NDFRT,CUI
570,"N0000148477
","
C0066005
"
571,"N0000176118
","
C1871526
"
572,"N0000148047
","
C0041056
"
573,"N0000148483
","
C0107994
"
574,"N0000147818
","
C0012525
"
575,"N0000145914
","
C0026549
"
576,"N0000176062
","
C0936148
"
577,"N0000171790
","
C0525678
"
578,"N0000147028
","
C0042291
"
579,"N0000148520
","
C0724680
"
580,"N0000146502
","
C0020264
"
581,"N0000147822
","
C0012963
"
582,"N0000147870
","
C0012306
"
583,"N0000147939
","
C0027360
"
584,"N0000148424
","
C0771309
"
585,"N0000171748
","
C0966107
"
586,"N0000148804
","
C0533545
"
587,"N0000176088
","
C1506770
"
588,"N0000176119
","
C1135132
"
589,"N0000176084
","
C1120110
"
590,"N0000148384
","
C0054201
"
591,"N0000176133
","
C1456409
"
592,"N0000176089
","
C1873633
"
593,"N0000147961
","
C0030454
"
594,"N0000176108
","
C1707080
"
595,"N0000145980
","
C0040864
"
596,"N0000176142
","
C1880288
"
597,"N0000177933
","
C1831905
"
598,"N0000145891
","
C0035179
"
599,"N0000171797
","
C0213404
"
600,"N0000179820
","
C2001271
"
601,"N0000177920
","
C0039623
"
602,"N0000176120
","
C0389169
"
603,"N0000146166
","
C0016360
"
604,"N0000146162
","
C0022265
"
605,"N0000178380
","
C0073631
"
606,"N0000147890
","
C0023586
"
607,"N0000146498
","
C0025854
"
608,"N0000023103
","
C1815818
"
609,"N0000148854
","
C0907410
"
610,"N0000177929
","
C2343853
"
611,"N0000148066
","
C0218986
"
612,"N0000148630
","
C0756085
"
613,"N0000148546
","
C0117339
"
614,"N0000148616
","
C0071097
"
615,"N0000147784
","
C0009279
"
616,"N0000148021
","
C0143993
"
617,"N0000022320
","
C1145759
"
618,"N0000178337
","
C2348248
"
619,"N0000146205
","
C0024002
"
620,"N0000178412
","
C0247194
"
621,"N0000148720
","
C1120106
"
622,"N0000146319
","
C0020933
"
623,"N0000147637
","
C0051511
"
624,"N0000022626
","
C0982010
"
625,"N0000022627
","
C0982011
"
626,"N0000148280
","
C0102850
"
627,"N0000147944
","
C0028005
"
628,"N0000148551
","
C0246330
"
629,"N0000147365
","
C0060246
"
630,"N0000147742
","
C0054259
"
631,"N0000148693
","
C0903898
"
632,"N0000148391
","
C0770893
"
633,"N0000023104
","
C0167117
"
634,"N0000171783
","
C1533126
"
635,"N0000147736
","
C0006400
"
636,"N0000146592
","
C0023660
"
637,"N0000146984
","
C0031453
"
638,"N0000176156
","
C1872109
"
639,"N0000178413
","
C2353893
"
640,"N0000178497
","
C2718773
"
641,"N0000176135
","
C2349941
"
642,"N0000178379
","
C0541315
"
643,"N0000179804
","
C0766326
"
644,"N0000176066
","
C0672708
"
645,"N0000180306
","
C1527027
"
646,"N0000148521
","
C0771840
"
647,"N0000146179
","
C0305065
"
648,"N0000147543
","
C0028094
"
649,"N0000148375
","
C0245531
"
650,"N0000179817
","
C2000088
"
651,"N0000148738
","
C2000088
"
652,"N0000180309
","
C1831796
"
653,"N0000148816
","
C0220578
"
654,"N0000147950
","
C0028833
"
655,"N0000148410
","
C0771294
"
656,"N0000148362
","
C0543476
"
657,"N0000177923
","
C2356037
"
658,"N0000148706
","
C0060657
"
659,"N0000148825
","
C0965390
"
660,"N0000147712
","
C0003596
"
661,"N0000171760
","
C0013015
"
662,"N0000148537
","
C0772184
"
663,"N0000146578
","
C0027353
"
664,"N0000176124
","
C1721377
"
665,"N0000176080
","
C0753678
"
666,"N0000146924
","
C0033215
"
667,"N0000147990
","
C0033218
"
668,"N0000180308
","
C1101838
"
669,"N0000177948
","
C0060179
"
670,"N0000146012
","
C0028027
"
671,"N0000147344
","
C0770307
"
672,"N0000146791
","
C0030899
"
673,"N0000148513
","
C0246421
"
674,"N0000148870
","
C1172734
"
675,"N0000181529
","
C2830183
"
676,"N0000146891
","
C0002615
"
677,"N0000145799
","
C0017861
"
678,"N0000146108
","
C0024730
"
679,"N0000146766
","
C0025696
"
680,"N0000147582
","
C0135166
"
681,"N0000146940
","
C0032613
"
682,"N0000146252
","
C0164608
"
683,"N0000148359
","
C0076840
"
684,"N0000146925
","
C0040899
"
685,"N0000147621
","
C4083129
"
686,"N0000146119
","
C0012551
"
687,"N0000181834
","
C1699926
"
688,"N0000023074
","
C0358297
"
689,"N0000147717
","
C0004886
"
690,"N0000148731
","
C0047683
"
691,"N0000176078
","
C0883242
"
692,"N0000146727
","
C0596004
"
693,"N0000146751
","
C0301370
"
694,"N0000147708
","
C0301369
"
695,"N0000147723
","
C0005098
"
696,"N0000147728
","
C0005578
"
697,"N0000147918
","
C0301374
"
698,"N0000147868
","
C0062922
"
699,"N0000147808
","
C0012125
"
700,"N0000147847
","
C0016225
"
701,"N0000146747
","
C0017970
"
702,"N0000147901
","
C0360172
"
703,"N0000147954
","
C0069805
"
704,"N0000181836
","
C2348066
"
705,"N0000147469
","
C0025023
"
706,"N0000146895
","
C0025746
"
707,"N0000148861
","
C0005642
"
708,"N0000022080
","
C0054094
"
709,"N0000147895
","
C0024778
"
710,"N0000182252
","
C2697950
"
711,"N0000148711
","
C0043822
"
712,"N0000148422
","
C0028116
"
713,"N0000147493
","
C0085173
"
714,"N0000180310
","
C1453642
"
715,"N0000182254
","
C2608038
"
716,"N0000182565
","
C1958569
"
717,"N0000182735
","
C2746078
"
718,"N0000182438
","
C1530072
"
719,"N0000182738
","
C1738934
"
720,"N0000182739
","
C1876229
"
721,"N0000147968
","
C0031007
"
722,"N0000147782
","
C0009170
"
723,"N0000182831
","
C1956796
"
724,"N0000182730
","
C0754011
"
725,"N0000147841
","
C0015042
"
726,"N0000147853
","
C0016368
"
727,"N0000147894
","
C0024056
"
728,"N0000147914
","
C0066101
"
729,"N0000147208
","
C0025678
"
730,"N0000182740
","
C1566826
"
731,"N0000147581
","
C0058134
"
732,"N0000147517
","
C0085154
"
733,"N0000022999
","
C0732569
"
734,"N0000148642
","
C0069751
"
735,"N0000178417
","
C0052429
"
736,"N0000147930
","
C0026388
"
737,"N0000146289
","
C0031184
"
738,"N0000147203
","
C0031954
"
739,"N0000146346
","
C0033229
"
740,"N0000147994
","
C0033399
"
741,"N0000147995
","
C0033405
"
742,"N0000147999
","
C0033473
"
743,"N0000148028
","
C0039865
"
744,"N0000182970
","
C1619962
"
745,"N0000020848
","
C1289957
"
746,"N0000182971
","
C1739768
"
747,"N0000148393
","
C0288672
"
748,"N0000147616
","
C0078956
"
749,"N0000148518
","
C0297268
"
750,"N0000148388
","
C0282471
"
751,"N0000148501
","
C0353453
"
752,"N0000148343
","
C0206460
"
753,"N0000148569
","
C0253563
"
754,"N0000148733
","
C1098510
"
755,"N0000179815
","
C1620287
"
756,"N0000148458
","
C0256103
"
757,"N0000147774
","
C0055877
"
758,"N0000147036
","
C0770460
"
759,"N0000183250
","
C3192263
"
760,"N0000148271
","
C0040613
"
761,"N0000022394
","
C0023031
"
762,"N0000176106
","
C1701455
"
763,"N0000183253
","
C2974289
"
764,"N0000182973
","
C1999375
"
765,"N0000146348
","
C0022233
"
766,"N0000147912
","
C0025624
"
767,"N0000147957
","
C0069833
"
768,"N0000147958
","
C0030082
"
769,"N0000183921
","
C0043832
"
770,"N0000147598
","
C0079083
"
771,"N0000147072
","
C0008163
"
772,"N0000148039
","
C0040805
"
773,"N0000176077
","
C0055891
"
774,"N0000184017
","
C2931926
"
775,"N0000177928
","
C1870115
"
776,"N0000023105
","
C1260298
"
777,"N0000147730
","
C0005740
"
778,"N0000184323
","
C1700874
"
779,"N0000022963
","
C0982214
"
780,"N0000146322
","
C0026782
"
781,"N0000146325
","
C0035923
"
782,"N0000022437
","
C0770698
"
783,"N0000022994
","
C0035870
"
784,"N0000171747
","
C1619966
"
785,"N0000148811
","
C1176309
"
786,"N0000176107
","
C1176329
"
787,"N0000148465
","
C0171023
"
788,"N0000022076
","
C0074710
"
789,"N0000179814
","
C1611934
"
790,"N0000148559
","
C0724710
"
791,"N0000148871
","
C1509436
"
792,"N0000178481
","
C1176308
"
793,"N0000147715
","
C0004499
"
794,"N0000147716
","
C0052865
"
795,"N0000147781
","
C0009077
"
796,"N0000146395
","
C0010523
"
797,"N0000022613
","
C0025643
"
798,"N0000147937
","
C0027348
"
799,"N0000148679
","
C0026088
"
800,"N0000146879
","
C0012145
"
801,"N0000148682
","
C0048470
"
802,"N0000171742
","
C1516119
"
803,"N0000148708
","
C0168273
"
804,"N0000147673
","
C0019453
"
805,"N0000146324
","
C0003993
"
806,"N0000148852
","
C0004475
"
807,"N0000185032
","
C0007072
"
808,"N0000146323
","
C0770689
"
809,"N0000185031
","
C1328025
"
810,"N0000148721
","
C0913246
"
811,"N0000148671
","
C0541155
"
812,"N0000185511
","
C3177235
"
813,"N0000185726
","
C3496793
"
814,"N0000185728
","
C1831731
"
815,"N0000171798
","
C0084528
"
816,"N0000178418
","
C0531104
"
817,"N0000182642
","
C0034392
"
818,"N0000148448
","
C0886549
"
819,"N0000185033
","
C3264621
"
820,"N0000022136
","
C0718050
"
821,"N0000148594
","
C0718050
"
822,"N0000185512
","
C2606637
"
823,"N0000023118
","
C1619629
"
824,"N0000186060
","
C2983812
"
825,"N0000147929
","
C0026259
"
826,"N0000147172
","
C0016855
"
827,"N0000146165
","
C0051241
"
828,"N0000147286
","
C0004743
"
829,"N0000147126
","
C0019469
"
830,"N0000147034
","
C0025629
"
831,"N0000146574
","
C0301407
"
832,"N0000186059
","
C2930696
"
833,"N0000148560
","
C0393022
"
834,"N0000180629
","
C1609165
"
835,"N0000147111
","
C0057831
"
836,"N0000147035
","
C0014987
"
837,"N0000147346
","
C0059714
"
838,"N0000147144
","
C0017845
"
839,"N0000146264
","
C0025386
"
840,"N0000176151
","
C0025627
"
841,"N0000146133
","
C0025840
"
842,"N0000146529
","
C0030438
"
843,"N0000146326
","
C0062525
"
844,"N0000148275
","
C0057002
"
845,"N0000147176
","
C0301503
"
846,"N0000022983
","
C0770687
"
847,"N0000147358
","
C0078049
"
848,"N0000148059
","
C0021027
"
849,"N0000146024
","
C0032831
"
850,"N0000186142
","
C2827241
"
851,"N0000148828
","
C0057144
"
852,"N0000176137
","
C0082274
"
853,"N0000180303
","
C1721300
"
854,"N0000186139
","
C3181682
"
855,"N0000186141
","
C2987417
"
856,"N0000186061
","
C3528000
"
857,"N0000186569
","
C2347624
"
858,"N0000186784
","
C1872203
"
859,"N0000147694
","
C0002327
"
860,"N0000147635
","
C0057626
"
861,"N0000147812
","
C0058056
"
862,"N0000037309
","
C0014994
"
863,"N0000147047
","
C0015131
"
864,"N0000177942
","
C2370726
"
865,"N0000147885
","
C0022614
"
866,"N0000147110
","
C0163055
"
867,"N0000147915
","
C0025668
"
868,"N0000147038
","
C0025688
"
869,"N0000145779
","
C0070108
"
870,"N0000147620
","
C0033487
"
871,"N0000148409
","
C0074414
"
872,"N0000147802
","
C0011710
"
873,"N0000186951
","
C2974540
"
874,"N0000186956
","
C1313616
"
875,"N0000187065
","
C1664205
"
876,"N0000148568
","
C0676831
"
877,"N0000176143
","
C0525079
"
878,"N0000182640
","
C1723401
"
879,"N0000148845
","
C0796392
"
880,"N0000183554
","
C3247294
"
881,"N0000148833
","
C0995188
"
882,"N0000023086
","
C0092777
"
883,"N0000146419
","
C0010711
"
884,"N0000146713
","
C0010927
"
885,"N0000146314
","
C0010934
"
886,"N0000175993
","
C0049065
"
887,"N0000022996
","
C1383469
"
888,"N0000022965
","
C0982118
"
889,"N0000176091
","
C1541483
"
890,"N0000146156
","
C0014922
"
891,"N0000146478
","
C0015133
"
892,"N0000186137
","
C2000261
"
893,"N0000186136
","
C1831808
"
894,"N0000187067
","
C2350948
"
895,"N0000147816
","
C0012522
"
896,"N0000187069
","
C3467876
"
897,"N0000146171
","
C0016343
"
898,"N0000022977
","
C0771488
"
899,"N0000023004
","
C1533699
"
900,"N0000146101
","
C0020402
"
901,"N0000148737
","
C0877880
"
902,"N0000147596
","
C0020823
"
903,"N0000179807
","
C2722820
"
904,"N0000147099
","
C0001927
"
905,"N0000176102
","
C0969589
"
906,"N0000148722
","
C1169997
"
907,"N0000182968
","
C1722260
"
908,"N0000147882
","
C0022245
"
909,"N0000148608
","
C0772501
"
910,"N0000147906
","
C0029193
"
911,"N0000147907
","
C0025575
"
912,"N0000148472
","
C0733394
"
913,"N0000147941
","
C0027373
"
914,"N0000147945
","
C0028351
"
915,"N0000147584
","
C0030071
"
916,"N0000147970
","
C0070549
"
917,"N0000147976
","
C0031447
"
918,"N0000147983
","
C0071129
"
919,"N0000148427
","
C0290883
"
920,"N0000185509
","
C2001856
"
921,"N0000184016
","
C1134659
"
922,"N0000171749
","
C1144149
"
923,"N0000146475
","
C0023972
"
924,"N0000146435
","
C0003442
"
925,"N0000147897
","
C0025033
"
926,"N0000147066
","
C0025241
"
927,"N0000022818
","
C0771055
"
928,"N0000146471
","
C0002475
"
929,"N0000188383
","
C3253985
"
930,"N0000148061
","
C0071778
"
931,"N0000180305
","
C1832027
"
932,"N0000148774
","
C0069717
"
933,"N0000148314
","
C0144576
"
934,"N0000148371
","
C0071568
"
935,"N0000148831
","
C0210657
"
936,"N0000148177
","
C0030896
"
937,"N0000146714
","
C0026234
"
938,"N0000147578
","
C0039629
"
939,"N0000147904
","
C0025384
"
940,"N0000146237
","
C0012582
"
941,"N0000188995
","
C2717561
"
942,"N0000145899
","
C0002711
"
943,"N0000188994
","
C3661282
"
944,"N0000148324
","
C0771029
"
945,"N0000148622
","
C0076080
"
946,"N0000148273
","
C0039512
"
947,"N0000148588
","
C0039736
"
948,"N0000147080
","
C0039902
"
949,"N0000188996
","
C2606556
"
950,"N0000189499
","
C2742503
"
951,"N0000189502
","
C3501358
"
952,"N0000148745
","
C0937640
"
953,"N0000189533
","
C2605855
"
954,"N0000189539
","
C2976303
"
955,"N0000176144
","
C2343589
"
956,"N0000148561
","
C0677942
"
957,"N0000146432
","
C0038432
"
958,"N0000148351
","
C0919292
"
959,"N0000189941
","
C2698280
"
960,"N0000146172
","
C0037533
"
961,"N0000145900
","
C0037532
"
962,"N0000147862
","
C0079466
"
963,"N0000146477
","
C0026256
"
964,"N0000022442
","
C0875949
"
965,"N0000189503
","
C3541367
"
966,"N0000146261
","
C0039871
"
967,"N0000023026
","
C0879399
"
968,"N0000148354
","
C0085176
"
969,"N0000146436
","
C0041920
"
970,"N0000180304
","
C1608841
"
971,"N0000148597
","
C0068314
"
972,"N0000182736
","
C1121849
"
973,"N0000148776
","
C0540694
"
974,"N0000147744
","
C0262964
"
975,"N0000145859
","
C0003968
"
976,"N0000148054
","
C0042523
"
977,"N0000148050
","
C0041345
"
978,"N0000148052
","
C0042313
"
979,"N0000148230
","
C0012132
"
980,"N0000146246
","
C0039468
"
981,"N0000147326
","
C0262960
"
982,"N0000146815
","
C0038687
"
983,"N0000146943
","
C0055578
"
984,"N0000145851
","
C0142825
"
985,"N0000146103
","
C0041041
"
986,"N0000147622
","
C0043474
"
987,"N0000145830
","
C0142785
"
988,"N0000147000
","
C0142874
"
989,"N0000146434
","
C0041175
"
990,"N0000147942
","
C0027679
"
991,"N0000148006
","
C0034261
"
992,"N0000148053
","
C0242531
"
993,"N0000146368
","
C0024977
"
994,"N0000147974
","
C0031411
"
995,"N0000146845
","
C0001655
"
996,"N0000146844
","
C0010192
"
997,"N0000147833
","
C0013615
"
998,"N0000147342
","
C0034410
"
999,"N0000147965
","
C0220892
"
1000,"N0000148550
","
C0528166
"
1001,"N0000148478
","
C0081408
"
1002,"N0000148406
","
C0209368
"
1003,"N0000146988
","
C0041249
"
1004,"N0000148466
","
C0245514
"
1005,"N0000148631
","
C0756081
"
1006,"N0000145821
","
C0025826
"
1007,"N0000146591
","
C0038149
"
1008,"N0000147940
","
C0027368
"
1009,"N0000146030
","
C0078794
"
1010,"N0000148434
","
C0354594
"
1011,"N0000148690
","
C0380393
"
1012,"N0000147887
","
C0023413
"
1013,"N0000148457
","
C0378466
"
1014,"N0000147949
","
C0069454
"
1015,"N0000147614
","
C0127615
"
1016,"N0000146470
","
C0065879
"
1017,"N0000148456
","
C0216784
"
1018,"N0000148035
","
C0085237
"
1019,"N0000148716
","
C0384228
"
1020,"N0000148451
","
C0139919
"
1021,"N0000146033
","
C0043481
"
1022,"N0000148755
","
C1122975
"
1023,"N0000147838
","
C0014964
"
1024,"N0000148498
","
C0149368
"
1025,"N0000148494
","
C0771735
"
1026,"N0000146279
","
C0012086
"
1027,"N0000148032
","
C0039955
"
1028,"N0000148042
","
C0040979
"
1029,"N0000022698
","
C1572718
"
1030,"N0000146890
","
C0026156
"
1031,"N0000148613
","
C0289313
"
1032,"N0000148043
","
C0040989
"
1033,"N0000148617
","
C0040989
"
1034,"N0000147213
","
C0521933
"
1035,"N0000148233
","
C0947608
"
1036,"N0000146967
","
C1705480
"
1037,"N0000148331
","
C0724725
"
1038,"N0000148771
","
C1137921
"
1039,"N0000148258
","
C0169964
"
1040,"N0000148675
","
C0052940
"
1041,"N0000147759
","
C0007561
"
1042,"N0000147183
","
C0025684
"
1043,"N0000148196
","
C0036581
"
1044,"N0000147938
","
C0027358
"
1045,"N0000148802
","
C0763533
"
1046,"N0000148556
","
C0060405
"
1047,"N0000148215
","
C0076705
"
1048,"N0000176069
","
C1565750
"
1049,"N0000176153
","
C1698215
"
1050,"N0000148713
","
C0257685
"
1051,"N0000148712
","
C0121772
"
1052,"N0000148403
","
C0795623
"
1053,"N0000146331
","
C0062527
"
1054,"N0000180558
","
C2746755
"
1055,"N0000175990
","
C1815829
"
1056,"N0000022959
","
C0982212
"
1057,"N0000022976
","
C0982215
"
1058,"N0000039890
","
C3714691
"
1059,"N0000148598
","
C0717360
"
1060,"N0000146113
","
C0065942
"
1061,"N0000146114
","
C0065944
"
1062,"N0000146115
","
C0982275
"
1063,"N0000146116
","
C0982276
"
1064,"N0000022466
","
C0032066
"
1065,"N0000023002
","
C0876236
"
1066,"N0000148276
","
C0718003
"
1067,"N0000146394
","
C0034496
"
1068,"N0000146384
","
C0305058
"
1069,"N0000146118
","
C0305062
"
1070,"N0000022789
","
C0770721
"
1071,"N0000146380
","
C0041469
"
1072,"N0000148398
","
C0078221
"
1073,"N0000146121
","
C0301508
"
1074,"N0000147997
","
C0033447
"
1075,"N0000146728
","
C0036442
"
1076,"N0000148044
","
C0041009
"
1077,"N0000148857
","
C0772089
"
1078,"N0000147131
","
C0036071
"
1079,"N0000146803
","
C0038878
"
1080,"N0000181720
","
C2723461
"
1081,"N0000148045
","
C0041031
"
1082,"N0000146793
","
C0038418
"
1083,"N0000148666
","
C0872913
"
1084,"N0000148680
","
C0354599
"
1085,"N0000147032
","
C0042071
"
1086,"N0000147992
","
C0033254
"
1087,"N0000146871
","
C0040845
"
1088,"N0000148127
","
C1802750
"
1089,"N0000148040
","
C0077081
"
1090,"N0000146908
","
C0041190
"
1091,"N0000148704
","
C0909381
"
1092,"N0000146177
","
C0031237
"
1093,"N0000022822
","
C0982332
"
1094,"N0000182258
","
C2960908
"
1095,"N0000020131
","
C0358314
"
1096,"N0000176071
","
C1453933
"
1097,"N0000147953
","
C0029983
"
1098,"N0000176131
","
C0068475
"
1099,"N0000148482
","
C0524684
"
1100,"N0000148564
","
C0795668
"
1101,"N0000147832
","
C0013547
"
1102,"N0000177954
","
C2721771
"
1103,"N0000146572
","
C0142915
"
1104,"N0000146756
","
C0041942
"
1105,"N0000148625
","
C0251504
"
1106,"N0000145883
","
C0038684
"
1107,"N0000145884
","
C0038686
"
1108,"N0000145881
","
C0038710
"
1109,"N0000148027
","
C0039855
"
1110,"N0000148030
","
C0039925
"
1111,"N0000148552
","
C0772394
"
1112,"N0000021988
","
C0010648
"
1113,"N0000148496
","
C0086140
"
1114,"N0000148026
","
C0039542
"
1115,"N0000147271
","
C0148485
"
1116,"N0000188266
","
C2935023
"
1117,"N0000188382
","
C0378366
"
1118,"N0000146153
","
C0016278
"
1119,"N0000146290
","
C0030817
"
1120,"N0000146163
","
C0034283
"
1121,"N0000147417
","
C0012384
"
1122,"N0000185727
","
C1718383
"
1123,"N0000147595
","
C0025405
"
1124,"N0000147020
","
C0041038
"
1125,"N0000187070
","
C3663037
"
1126,"N0000146120
","
C0305062
"
1127,"N0000148203
","
C0074748
"
1128,"N0000148241
","
C0057143
"
1129,"N0000147960
","
C0030350
"
1130,"N0000148036
","
C0040373
"
1131,"N0000190488
","
C1313052
"
1132,"N0000147661
","
C0061008
"
